city;subject;shop_id;latitude;longitude;distance_adm_cent;count_population;pop_dens;count_shop_id_city;dist_shop_id;count_shop_id_km;dist_competitor_1;dist_competitor_2;dist_competitor_3;dist_competitor_4;min_dist_tertiary;min_dist_secondary;min_dist_road;min_dist_primary;min_dist_footway;n_traffic_signals;min_dist_traffic_signals;n_parking_space;min_dist_parking_space;min_dist_parking;n_parking_entrance;min_dist_parking_entrance;n_parking;n_bus_stop;min_dist_bus_stop;n_tram_stop;min_dist_tram_stop;n_apartments;min_dist_apartments;n_house;min_dist_house;n_residential;min_dist_residential;n_dormitory;min_dist_dormitory;n_terrace;min_dist_terrace;n_industrial;min_dist_industrial;n_office;min_dist_office;n_cinema;min_dist_cinema;n_marketplace;min_dist_marketplace;n_restaurant;min_dist_restaurant;n_nightclub;min_dist_nightclub;n_university;min_dist_university;n_college;min_dist_college;n_fast_food;min_dist_fast_food;n_food_court;min_dist_food_court;n_bank;min_dist_bank;n_fuel;min_dist_fuel;sale_k
Лосино-Петровский;Московская область;21;55.87;38.2;0.30162403891599504;25424;20291.410134902624;2;377.44706441268954;1;432.7588300166114;1144.918329130179;10000.0;10000.0;35.447760174341994;255.90954996840344;0.0;0.0;55.47588099998927;2.0;281.60810875453376;0.0;0.0;202.4285548893821;0.0;0.0;7.0;21.0;47.99418768595703;0.0;0.0;119.0;11.564826119929915;0.0;1023.8554612750162;1.0;672.3416106783562;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2901.5136306093927;1.0;670.3246757495871;0.0;0.0;1.0;249.62513409375987;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;410.6547936038758;2
Липецк;Липецкая область;22;52.59;39.54;0.14174557721847933;509735;5714.314838846519;49;144.8697158481967;5;102.43835846512788;453.24164652395325;869.2182950902097;10000.0;487.7089681009046;229.39307895204337;3165.331009799245;2284.517671510305;107.4177947352129;5.0;270.2971225008709;0.0;0.0;236.42854653445625;0.0;2654.8935630585634;25.0;18.0;248.0956360308242;2.0;756.1372890022508;63.0;185.3423091735876;0.0;1243.3374140748012;1.0;647.5496084175645;1.0;897.2984715199395;0.0;0.0;0.0;1459.2642143565695;0.0;1604.1844022359946;1.0;515.5950481586074;1.0;662.0708552000325;1.0;862.8911745467677;2.0;643.9324692171416;0.0;1383.7628509571218;7.0;810.5683034058989;2.0;344.31713749917037;0.0;0.0;6.0;443.62710655389236;1.0;487.79302240497077;2
Екатеринбург;Свердловская область;23;56.88;60.57;0.3094275000141394;1468833;9945.330147192;161;243.6832542484926;3;577.4514014363355;377.93736173728513;10000.0;10000.0;148.02729526079025;23.217481024526965;2428.892450625005;482.47848192396896;16.232881636256494;12.0;111.25230003125587;0.0;5338.8996251983335;93.18246500665941;1.0;844.2521584545419;26.0;15.0;88.37988407195213;14.0;91.5685015940893;55.0;66.35640999084376;318.0;548.6109334017933;0.0;2088.2097436676445;0.0;1945.5239422432087;0.0;11634.62934092992;4.0;569.1051959143762;0.0;2079.497303595825;0.0;1496.5684364108401;0.0;2842.034085546331;1.0;834.2050525163644;0.0;3988.3919151862974;0.0;1671.9825359824194;0.0;1484.1702129983105;5.0;221.28407099550847;0.0;3770.361196554341;6.0;27.613250135518303;3.0;521.2861388698383;1
Омск;Омская область;24;54.98;73.46;0.08175831838412717;1960081;3289.619130513111;102;920.6722370027011;2;10000.0;707.0124084686765;10000.0;10000.0;568.2651366046673;236.1019664797112;13029.031023300591;86.56849938879276;132.39081906470017;1.0;433.0286334079589;0.0;0.0;143.0466701381807;0.0;5260.193143141859;7.0;12.0;105.20974065835138;0.0;1501.544170375666;26.0;588.0119722088771;0.0;2500.581140449883;0.0;4331.608073338345;0.0;1509.2507320148165;0.0;15305.840525088403;2.0;906.6248967259587;0.0;5387.863297578978;0.0;1131.9878797840195;0.0;4727.582757219881;1.0;520.355973543278;0.0;2995.7241745439624;0.0;1486.9352341966946;1.0;677.3714804112184;0.0;2781.075293042299;0.0;0.0;3.0;488.54115385758314;2.0;728.8195813993483;0
Пурпе;Ямало-Ненецкий автономный округ;25;64.48;76.69;0.0;9598;;2;930.6747638880449;1;724.3485792426427;244.69439242521216;10000.0;10000.0;43.61722783454709;0.0;0.0;0.0;448.10821483987394;0.0;0.0;0.0;0.0;534.7462147003471;0.0;0.0;4.0;0.0;0.0;0.0;0.0;5.0;13.53032490451794;0.0;0.0;8.0;80.70622187675632;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1706.2513828737383;0
Вятские Поляны;Кировская область;26;56.23;51.08;2.7890280557789255;32562;4533.411884255755;4;323.9385325177277;3;364.4678989922665;56.655205815707056;10000.0;10000.0;374.008405455351;2353.3793124740328;0.0;4883.557002080453;296.273588726164;4.0;127.79436506895321;0.0;0.0;140.06741605688202;0.0;0.0;13.0;11.0;493.8321119978769;0.0;0.0;73.0;64.0093904336461;50.0;154.86624730686373;30.0;40.576224653245895;0.0;0.0;0.0;0.0;0.0;1985.8103305139755;6.0;192.39474273249942;0.0;1063.808441120129;1.0;656.110351894535;5.0;173.7776662444862;0.0;0.0;2.0;549.0584115127867;1.0;602.3492913456897;0.0;0.0;0.0;0.0;7.0;186.13097883022982;0.0;2250.727574785164;1
В.Тура;Свердловская область;27;58.36;59.82;1.7916744600627088;20217;;2;848.6651334380864;1;1051.5609127372936;2127.110919686795;10000.0;10000.0;602.2900816794731;53.54252186657504;0.0;53.54252186657504;81.24063565734876;0.0;0.0;0.0;0.0;1665.6559800349673;0.0;0.0;0.0;4.0;140.49282429175042;0.0;0.0;12.0;72.54153363724933;0.0;1211.0029412841004;16.0;104.9263117607188;0.0;0.0;0.0;0.0;1.0;933.4643945192244;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
Челябинск;Челябинская область;28;55.17;61.42;0.17219712794934322;1202371;19737.20045975233;198;711.451134021725;3;10000.0;625.7772017356813;10000.0;10000.0;497.26077353744586;384.1496906130368;9432.414335006344;72.61986654990808;96.11577872571844;13.0;92.26131819323534;0.0;0.0;268.96238272769904;0.0;0.0;34.0;4.0;863.5794191013401;17.0;78.65336148068124;37.0;155.87981958052774;0.0;1339.4058407365628;0.0;1799.7084583031685;0.0;1173.8371719039287;0.0;7637.847884270049;3.0;720.0038513647012;3.0;459.0055131923123;1.0;736.6868246358658;2.0;534.5563173453437;0.0;1127.6009578608255;0.0;2103.5131549761986;3.0;526.0355428650656;0.0;1055.0176905592239;9.0;59.91477489277946;0.0;3460.625858605665;10.0;6.725510130254791;8.0;449.30122567686914;0
Ярославль;Ярославская область;29;57.58;39.83;0.2050390127609885;1265684;26812.418250315062;30;594.8277767436466;1;607.1528658465987;496.8990259599044;10000.0;10000.0;951.5117495732522;721.0201070371872;3237.17976746682;1495.4564310807486;58.125145409801426;4.0;721.7318699075582;0.0;0.0;313.69070459125624;0.0;5506.866268765674;7.0;11.0;78.36675065041203;0.0;5688.851241025948;28.0;607.5249877218599;0.0;1984.0970367762327;0.0;2808.6325629700978;1.0;867.321682574751;0.0;0.0;0.0;2014.915642618288;0.0;4554.374988126016;0.0;1415.607638221771;1.0;502.8086940485317;1.0;798.8636541237117;1.0;534.6026817350834;0.0;1339.3607203005647;1.0;784.0666080678467;4.0;48.21952261773478;0.0;0.0;2.0;598.8841199262603;1.0;745.7870351481591;2
Ульяновск;Ульяновская область;30;54.27;48.29;0.3468916345561001;626540;36458.43599177381;42;680.2255472322045;2;213.7243523091837;305.7039760897779;10000.0;10000.0;275.58479408438853;43.823415748438855;6159.1061013416;384.60367611242174;19.080741551585973;5.0;398.90059816021983;0.0;1766.9635556583166;32.656642159011305;0.0;6030.013365359649;111.0;35.0;101.15967435970705;4.0;430.1892919490712;148.0;77.53183479162902;123.0;142.819960855221;0.0;5669.833513095913;0.0;1878.2042421580973;0.0;9705.22939404376;0.0;1715.7381000488683;0.0;2696.9892310317027;1.0;700.7838992946722;0.0;1566.2094922501974;3.0;511.1465652569108;0.0;4313.575914178576;0.0;6122.2125108867895;0.0;2545.854841712219;2.0;510.7502072016802;0.0;6093.3128200664205;5.0;334.92127940550864;0.0;1085.620288898122;1
Челябинск;Челябинская область;31;55.17;61.43;0.16148983576684153;1202371;12598.191757199842;198;520.7966428820545;2;11.110999999579363;787.0792735034216;10000.0;10000.0;29.514263285586942;464.7786154419484;9240.582783019978;405.1965521635189;35.352956283966726;6.0;497.3663897586357;0.0;0.0;271.24242398206167;0.0;0.0;31.0;0.0;1111.77669341278;15.0;472.6147318200177;26.0;297.88943677177593;0.0;1054.5014484871263;0.0;1029.2907169778618;2.0;802.9833160353216;0.0;8152.715554351125;3.0;336.1487174754339;0.0;1087.8121356959646;1.0;856.1337358374676;0.0;1344.2215512652674;0.0;1358.5820851477595;0.0;2801.419293792573;3.0;596.8003666686508;5.0;672.5497893235155;3.0;294.70267783898066;0.0;4235.804254256761;2.0;834.3580773730538;3.0;537.2679762310521;1
Камышлов;Свердловская область;32;56.84;62.71;1.8281301405220078;26444;;4;845.0936320818192;1;10000.0;200.30640110870146;10000.0;10000.0;846.5998063475008;530.4669898517651;3685.9375411800047;53.80921468940154;121.99220706194828;7.0;96.07295633483757;0.0;0.0;644.7989873611775;0.0;0.0;1.0;0.0;3755.217169258925;0.0;0.0;0.0;2160.9486195139707;0.0;1186.5846040681108;23.0;53.80921468940154;0.0;0.0;0.0;0.0;0.0;1896.9807840928315;0.0;0.0;0.0;0.0;3.0;107.48154869589253;0.0;0.0;0.0;0.0;0.0;0.0;1.0;306.02366515230625;0.0;3862.3125535009885;0.0;0.0;3.0;68.80311998383817;1.0;940.8226807610029;0
